List Name,Card Name,Card Description,Labels
To Do,KYC-03 PATCH /admin/kyc/:id/reject,"Rejet KYC avec motif obligatoire. Done = motif stocke et notifie.",P0 Critique;KYC;Admin
To Do,CAT-01 GET /categories,"Lister categories actives. Done = tri par sort_order.",P0 Critique;Categories
To Do,CAT-02 POST /admin/categories,"Creation categorie admin. Done = nom unique controle.",P0 Critique;Categories;Admin
To Do,CAT-03 PUT /admin/categories/:id,"Edition categorie admin. Done = audit action.",P0 Critique;Categories;Admin
To Do,CAT-04 PATCH /admin/categories/:id/disable,"Desactivation categorie sans suppression brute. Done = soft disable.",P0 Critique;Categories;Admin
To Do,SVC-01 POST /services,"Creation service pro VERIFIE uniquement. Done = blocage si KYC non verifie.",P0 Critique;Services
To Do,SVC-02 PUT /services/:id,"Update service owner only. Done = ACL owner testee.",P0 Critique;Services
To Do,SVC-03 DELETE /services/:id,"Suppression logique service. Done = non visible en search.",P0 Critique;Services
To Do,SEARCH-01 GET /search/professionals,"Search geo PostGIS ST_DWithin ST_Distance avec radius categorie query. Done = P95<500ms dataset cible.",P0 Critique;Search;Data
To Do,SEARCH-02 Indexes PostGIS,"Creer index GIST localisation + index filtres frequents. Done = plan requete valide.",P0 Critique;Search;Data
To Do,BOOK-01 POST /bookings,"Creation booking avec verif disponibilite et contraintes horaires. Done = reservation cohérente.",P0 Critique;Booking
To Do,BOOK-02 PATCH /bookings/:id/confirm,"Transition PENDING->CONFIRMED par pro owner. Done = refus transitions invalides.",P0 Critique;Booking
To Do,BOOK-03 PATCH /bookings/:id/reject,"Rejet booking avec motif. Done = client notifie.",P0 Critique;Booking
To Do,BOOK-04 PATCH /bookings/:id/on-the-way,"Transition vers ON_THE_WAY apres PAID_ESCROW. Done = regles appliquees.",P0 Critique;Booking
To Do,BOOK-05 PATCH /bookings/:id/complete,"Validation fin par client. Done = trigger liberation fonds.",P0 Critique;Booking;Paiement
To Do,BOOK-06 PATCH /bookings/:id/cancel,"Annulation selon politique temporelle. Done = calcul remboursement correct.",P0 Critique;Booking
To Do,BOOK-07 PATCH /bookings/:id/dispute,"Ouverture litige et blocage flux paiement. Done = admin alerte.",P0 Critique;Booking;Litige
To Do,PAY-01 POST /payments/initiate,"Init paiement escrow avec Idempotency-Key obligatoire. Done = double debit impossible.",P0 Critique;Paiement;Securite
To Do,PAY-02 POST /payments/webhook,"Webhook provider avec signature HMAC + anti replay. Done = verification securite testee.",P0 Critique;Paiement;Securite
To Do,PAY-03 GET /payments/:id,"Lecture statut paiement owner/admin. Done = ACL stricte.",P0 Critique;Paiement
To Do,PAY-04 Reconciliation job,"Job de reconciliation provider vs base. Done = rapport ecarts + correction.",P0 Critique;Paiement;Ops
To Do,WAL-01 GET /wallet/me,"Retour soldes pending/available. Done = coherence avec ledger.",P0 Critique;Wallet
To Do,WAL-02 GET /wallet/me/transactions,"Historique transactions wallet pagine. Done = tri par date desc.",P0 Critique;Wallet
To Do,WAL-03 POST /payments/withdraw,"Demande retrait min/max et fenetre metier. Done = controle limites BCEAO.",P0 Critique;Wallet;Paiement
To Do,REAL-01 WS /socket auth,"Handshake websocket avec JWT et ACL conversation booking.",P1 Important;TempsReel
To Do,REAL-02 Chat events,"Events chat.message.send/read avec persistence. Done = message visible <1s nominal.",P1 Important;TempsReel
To Do,REAL-03 Tracking events,"Events tracking.position.update avec throttle et expiry. Done = spam protege.",P1 Important;TempsReel
To Do,REAL-04 Redis socket adapter,"Adapter Redis pour multi instance websocket. Done = propagation cross instance ok.",P1 Important;TempsReel;Infra
To Do,NOTIF-01 GET /notifications,"Liste notifications user paginee. Done = filtre lu/non lu.",P0 Critique;Notifications
To Do,NOTIF-02 PATCH /notifications/:id/read,"Marquage lu avec ownership check. Done = ACL testee.",P0 Critique;Notifications
To Do,NOTIF-03 POST /admin/notifications/broadcast,"Broadcast admin avec rate limit et audit. Done = envoi trace.",P1 Important;Notifications;Admin
To Do,ADMIN-01 GET /admin/dashboard,"Dashboard agrégé actifs CA bookings litiges. Done = perf acceptable.",P1 Important;Admin
To Do,ADMIN-02 GET /admin/disputes,"Liste litiges avec priorite SLA. Done = filtres statut date.",P0 Critique;Admin;Litige
To Do,ADMIN-03 PATCH /admin/disputes/:id/resolve,"Resolution litige avec decision motivee. Done = effet paiement applique.",P0 Critique;Admin;Litige;Paiement
To Do,ADMIN-04 PATCH /admin/commission,"Maj commission avec versionning et audit.",P0 Critique;Admin;Paiement
To Do,ADMIN-05 PATCH /admin/users/:id/block,"Blocage/deblocage compte avec motif. Done = action tracee.",P1 Important;Admin
To Do,DATA-01 Table idempotency_keys,"Stockage des clefs idempotence et resultat associe. Done = duplicate request safe.",P0 Critique;Data
To Do,DATA-02 Table payment_webhook_events,"Stockage event webhook brut + hash signature + statut traitement.",P0 Critique;Data;Paiement
To Do,DATA-03 Table wallet_transactions,"Ledger immutable debit credit. Done = aucune update destructive.",P0 Critique;Data;Paiement
To Do,DATA-04 Table outbox_events,"Outbox pour publication fiable evenements critiques.",P0 Critique;Data;Architecture
To Do,DATA-05 Table audit_logs,"Trace admin et actions sensibles paiement KYC litiges.",P0 Critique;Data;Conformite
To Do,DATA-06 Table disputes,"Modele litige preuves messages decision remboursement.",P0 Critique;Data;Litige
To Do,SEC-01 Global rate limiting,"Configurer limites public/auth/sensible. Done = tests 429.",P0 Critique;Securite
To Do,SEC-02 Secrets management prod,"Migrer secrets vers vault/SSM et rotation clefs.",P0 Critique;Securite;Infra
To Do,SEC-03 TLS and headers hardening,"Helmet CSP HSTS policy et HTTPS only en prod.",P0 Critique;Securite
To Do,OBS-01 Structured logs,"Logs JSON avec request id user id booking id.",P0 Critique;Infra;Observabilite
To Do,OBS-02 Metrics and dashboards,"Metrics p95 error rate db pool queue lag et dashboards.",P0 Critique;Infra;Observabilite
To Do,OBS-03 Alerting rules,"Alertes webhook fail paiement fail 5xx spikes latency.",P0 Critique;Infra;Observabilite
To Do,OPS-01 Backup and restore drill,"Plan backup + test restauration avec preuve RTO/RPO.",P0 Critique;Infra
To Do,OPS-02 Runbooks incidents,"Runbook webhook down payment mismatch db slow socket outage.",P0 Critique;Infra
To Do,QA-01 Unit tests P0,"Couvrir use cases critiques auth booking paiement wallet.",P0 Critique;QA
To Do,QA-02 Integration tests P0,"Couvrir endpoints P0 avec supertest et fixtures.",P0 Critique;QA
To Do,QA-03 E2E critical journey,"Parcours complet client/pro/paiement/fin mission.",P0 Critique;QA
To Do,QA-04 Performance tests k6,"Charges search booking websocket selon objectifs.",P1 Important;QA;Performance
To Do,QA-05 Security tests OWASP,"Scan OWASP ZAP + dependances + verification authz.",P1 Important;QA;Securite
Doing,PM-01 Prioriser sprint 1,"Selection cartes sprint 1: ARCH + AUTH + USERS + KYC base.",P0 Critique;Management
Done,DOC-01 Execution plan complet cree,"Document BACKEND_EXECUTION_PLAN_COMPLET.md genere et lie dans ARCHITECTURE.md.",Documentation
Done,DOC-02 Architecture docs alignees,"Docs architecture et cahier de charges backend harmonisees.",Documentation
