List Name,Card Name,Card Description,Labels
"04 - Professionals","Administration KYC","Statut: implemente.

Endpoints:
- GET /api/v1/admin/kyc
- GET /api/v1/admin/kyc/:professionalId
- PATCH /api/v1/admin/kyc/:professionalId/approve
- PATCH /api/v1/admin/kyc/:professionalId/reject

Role:
- ADMIN uniquement

Fonctions:
- lister dossiers KYC
- consulter un dossier
- approuver KYC
- rejeter KYC avec raison
- conditionner la creation de service au KYC verifie

Fichiers:
- backend/src/professionals/presentation/controllers/admin-kyc.controller.ts
- backend/src/professionals/application/services/kyc.service.ts
- backend/src/professionals/infrastructure/repositories

Tests:
- backend/test/professionals.e2e-spec.ts
- backend/test/admin.e2e-spec.ts","Admin;KYC;Professionals"
"05 - Categories","Categories publiques et administration categories","Statut: implemente.

Endpoints publics:
- GET /api/v1/categories

Endpoints admin:
- POST /api/v1/admin/categories
- PATCH /api/v1/admin/categories/:categoryId
- PATCH /api/v1/admin/categories/:categoryId/disable

Roles:
- public pour lecture categories actives
- ADMIN pour creation, modification, desactivation

Fonctions:
- lister categories actives
- creer categorie
- modifier nom, icone, ordre, taux commission
- desactiver categorie
- eviter doublons nom
- taux commission par categorie utilise par paiements

Fichiers:
- backend/src/categories/categories.module.ts
- backend/src/categories/presentation/controllers/categories.controller.ts
- backend/src/categories/presentation/controllers/admin-categories.controller.ts
- backend/src/categories/application/services
- backend/src/categories/domain
- backend/src/categories/infrastructure/repositories

Tests:
- backend/test/categories.e2e-spec.ts
- backend/src/categories/application/services/category-admin.service.spec.ts","Categories;Admin;Commission"
"06 - Search","Recherche professionnels","Statut: implemente.

Endpoint:
- GET /api/v1/search/professionals

Role:
- public

Fonctions:
- recherche de professionnels verifies
- filtre texte
- filtre ville
- filtre categorie
- filtre geolocalisation
- radiusKm
- reutilisation logique recherche publique professionals

Fichiers:
- backend/src/search/search.module.ts
- backend/src/search/presentation/controllers/search.controller.ts
- backend/src/search/application
- backend/src/search/infrastructure

Tests:
- backend/test/search.e2e-spec.ts

Backlog:
- cache Redis des recherches frequentes
- scoring avance si besoin produit","Search;Public;Discovery"
"07 - Negotiations","Negociation avant reservation","Statut: implemente.

Endpoints:
- POST /api/v1/negotiations
- GET /api/v1/negotiations/my
- GET /api/v1/negotiations/:negotiationId
- PATCH /api/v1/negotiations/:negotiationId/counter
- PATCH /api/v1/negotiations/:negotiationId/accept
- PATCH /api/v1/negotiations/:negotiationId/reject
- PATCH /api/v1/negotiations/:negotiationId/cancel

Roles:
- CLIENT pour ouverture, acceptation, annulation selon etat
- PRESTATAIRE pour contre-proposition et rejet selon etat

Fonctions:
- ouvrir negotiation sur service negociable
- refuser service non negociable
- empecher doublon actif
- contre-proposition
- acceptation
- rejet
- annulation
- conversion vers reservation via module reservations

Fichiers:
- backend/src/negotiations/negotiations.module.ts
- backend/src/negotiations/presentation/controllers/negotiations.controller.ts
- backend/src/negotiations/application/services
- backend/src/negotiations/domain
- backend/src/negotiations/infrastructure/repositories

Tests:
- backend/test/negotiations.e2e-spec.ts","Negotiations;Reservations;Client;Prestataire"
"08 - Reservations","Cycle reservation client/prestataire","Statut: implemente.

Endpoints:
- POST /api/v1/reservations
- POST /api/v1/reservations/from-negotiation
- GET /api/v1/reservations/my
- GET /api/v1/reservations/:reservationId
- PATCH /api/v1/reservations/:reservationId/confirm
- PATCH /api/v1/reservations/:reservationId/cancel
- PATCH /api/v1/reservations/:reservationId/reschedule
- PATCH /api/v1/reservations/:reservationId/price-adjustment/propose
- PATCH /api/v1/reservations/:reservationId/price-adjustment/accept
- PATCH /api/v1/reservations/:reservationId/price-adjustment/reject
- PATCH /api/v1/reservations/:reservationId/complete
- PATCH /api/v1/reservations/:reservationId/review
- PATCH /api/v1/reservations/:reservationId/no-show
- PATCH /api/v1/reservations/:reservationId/mark-paid
- PATCH /api/v1/reservations/:reservationId/start
- PATCH /api/v1/reservations/:reservationId/dispute

Roles:
- CLIENT pour creation, reschedule, review, accept/reject ajustement selon regles
- PRESTATAIRE pour confirmation, start, complete, no-show, prix ajuste selon regles
- ADMIN via routes dediees

Fonctions:
- creation reservation
- creation depuis negotiation acceptee
- double role prestataire/client avec scope=CLIENT
- prevention self-booking
- gestion transitions
- communication notifications/outbox
- ajustement de prix avant paiement
- avis client unique
- ouverture litige
- marquage paye interne

Fichiers:
- backend/src/reservations/reservations.module.ts
- backend/src/reservations/presentation/controllers/reservations.controller.ts
- backend/src/reservations/application/services
- backend/src/reservations/domain
- backend/src/reservations/infrastructure/repositories/reservations.repository.ts

Tests:
- backend/test/reservations.e2e-spec.ts
- backend/src/reservations/domain/entities/reservation.entity.spec.ts","Reservations;CoreFlow;Client;Prestataire"
"08 - Reservations","Administration reservations","Statut: implemente.

Endpoints:
- GET /api/v1/admin/reservations
- GET /api/v1/admin/reservations/:reservationId
- GET /api/v1/admin/reservations/statistics

Role:
- ADMIN uniquement

Fonctions:
- listing reservations
- detail reservation
- statistiques reservation
- filtres admin selon DTO

Fichiers:
- backend/src/reservations/presentation/controllers/admin-reservations.controller.ts
- backend/src/reservations/application/services/reservation-query.service.ts
- backend/src/shared/guards/roles.guard.ts

Tests:
- backend/test/reservations.e2e-spec.ts
- backend/test/admin.e2e-spec.ts","Admin;Reservations;Analytics"
"09 - Messaging","Messagerie HTTP reservation/conversation","Statut: implemente.

Endpoints:
- GET /api/v1/conversations
- POST /api/v1/conversations
- GET /api/v1/conversations/:conversationId/messages
- POST /api/v1/conversations/:conversationId/messages

Roles:
- CLIENT participant
- PRESTATAIRE participant

Fonctions:
- conversation liee a une reservation
- idempotence conversation par reservation
- envoi texte ou mediaUrl
- historique messages
- marquage lecture
- refus utilisateur non participant
- creation notification et outbox

Fichiers:
- backend/src/messaging/messaging.module.ts
- backend/src/messaging/presentation/controllers/conversations.controller.ts
- backend/src/messaging/application/services
- backend/src/messaging/domain
- backend/src/messaging/infrastructure/repositories/messaging.repository.ts

Tests:
- backend/test/messaging.e2e-spec.ts

Limite actuelle:
- mediaUrl accepte mais upload fichier reel non implemente","Messaging;HTTP;Realtime"
"09 - Messaging","Messagerie Socket.IO temps reel","Statut: implemente.

Namespace:
- /socket

Authentification:
- JWT via handshake.auth.token ou Authorization Bearer

Events entrants:
- conversation.join
- conversation.message.send
- conversation.typing

Events sortants:
- conversation.history
- conversation.message.created
- conversation.messages.read
- conversation.typing.updated

Fonctions:
- join room user
- join room conversation
- livraison message au recipient connecte
- read receipt
- typing indicator
- controle participant via facade messaging
- CORS Socket.IO centralise

Fichiers:
- backend/src/messaging/presentation/gateways/messaging.gateway.ts
- backend/src/messaging/application/services/messaging-facade.service.ts
- backend/src/core/config/cors.config.ts

Tests:
- backend/test/messaging.e2e-spec.ts

Backlog scale:
- adapter Redis Socket.IO pour multi-instance","Messaging;SocketIO;Realtime"
"10 - Live Tracking","Live tracking HTTP et presence prestataire","Statut: implemente.

Endpoints:
- PATCH /api/v1/reservations/:reservationId/on-the-way
- GET /api/v1/reservations/:reservationId/live-tracking
- GET /api/v1/professionals/:professionalId/presence

Roles:
- PRESTATAIRE pour on-the-way
- CLIENT/PRESTATAIRE participants pour tracking reservation
- public/auth selon regles service pour presence

Fonctions:
- demarrer suivi en route
- persister session tracking
- lire snapshot tracking
- lire presence prestataire
- synchroniser presence avec socket connection
- finaliser tracking lors start/completion selon flux

Fichiers:
- backend/src/live-tracking/live-tracking.module.ts
- backend/src/live-tracking/presentation/controllers/live-tracking.controller.ts
- backend/src/live-tracking/application/services
- backend/src/live-tracking/domain
- backend/src/live-tracking/infrastructure/repositories/live-tracking.repository.ts

Tests:
- backend/test/live-tracking.e2e-spec.ts","LiveTracking;Presence;Mobile"
"10 - Live Tracking","Live tracking Socket.IO","Statut: implemente.

Namespace:
- /socket

Authentification:
- JWT via handshake.auth.token ou Authorization Bearer

Events entrants:
- tracking.subscribe
- professional.presence.subscribe
- tracking.location.update

Events sortants:
- tracking.snapshot
- tracking.location.updated
- professional.presence.snapshot
- professional.presence.updated

Fonctions:
- rooms par utilisateur
- rooms par reservation tracking
- rooms par professionnel
- mise a jour position GPS
- diffusion temps reel client/prestataire
- presence online/offline
- CORS Socket.IO centralise

Fichiers:
- backend/src/live-tracking/presentation/gateways/live-tracking.gateway.ts
- backend/src/live-tracking/application/services/live-tracking-facade.service.ts
- backend/src/core/config/cors.config.ts

Tests:
- backend/test/live-tracking.e2e-spec.ts

Backlog scale:
- adapter Redis Socket.IO pour multi-instance
- strategie de retention des points GPS","LiveTracking;SocketIO;Realtime"
"11 - Payments","Paiement client, escrow et statut","Statut: implemente.

Endpoints:
- POST /api/v1/payments/initiate
- GET /api/v1/payments/history
- GET /api/v1/payments/:paymentId
- PATCH /api/v1/payments/:paymentId/escrow/release
- PATCH /api/v1/payments/:paymentId/escrow/dispute
- GET /api/v1/payments/:paymentId/escrow/status

Roles:
- CLIENT proprietaire paiement
- PRESTATAIRE lie au paiement selon service
- ADMIN via routes admin

Fonctions:
- initiation paiement reservation
- idempotency-key obligatoire
- calcul commission depuis categorie
- gateways Wave, Orange Money, carte via adapters
- mode mock/dev et external/prod
- historique client
- detail paiement securise
- escrow release
- escrow dispute
- statut escrow

Fichiers:
- backend/src/payments/payments.module.ts
- backend/src/payments/presentation/controllers/payments.controller.ts
- backend/src/payments/application/services
- backend/src/payments/domain
- backend/src/payments/infrastructure/repositories
- backend/src/payments/infrastructure/adapters

Tests:
- backend/test/payments.e2e-spec.ts","Payments;Escrow;Client"
"11 - Payments","Webhooks paiement securises","Statut: implemente.

Endpoint:
- POST /api/v1/payments/webhook

Role:
- public provider, securise par signature si PAYMENT_WEBHOOK_SECRET configure

Fonctions:
- reception gatewayReference ou invoice_token
- verification HMAC sha256
- protection timestamp 5 minutes
- rejet signature invalide
- enregistrement evenement webhook
- detection replay via eventKey
- traitement statut provider
- mark processed ou failed

Fichiers:
- backend/src/payments/presentation/controllers/payments.controller.ts
- backend/src/payments/presentation/dto/payment-webhook.dto.ts
- backend/src/payments/application/services/payments-facade.service.ts
- backend/src/payments/infrastructure/adapters/hmac-payment-webhook-security.adapter.ts
- backend/src/payments/infrastructure/repositories/payment-webhook-event.repository.ts

Tests:
- backend/test/payments.e2e-spec.ts

Point production:
- PAYMENT_WEBHOOK_SECRET obligatoire en production external","Payments;Webhook;Security"
"11 - Payments","Retraits prestataire et wallet ledger","Statut: implemente.

Endpoints:
- POST /api/v1/payments/withdraw
- GET /api/v1/payments/withdrawals

Role:
- PRESTATAIRE uniquement

Fonctions:
- demander retrait
- verifier role prestataire
- verifier profil pro
- verifier solde
- historiser retraits
- wallet ledger

Fichiers:
- backend/src/payments/application/services/withdrawal.service.ts
- backend/src/payments/infrastructure/repositories/withdrawals.repository.ts
- backend/src/payments/infrastructure/repositories/wallet-ledger.repository.ts
- backend/src/payments/presentation/dto/request-withdrawal.dto.ts

Tests:
- backend/test/payments.e2e-spec.ts","Payments;Withdrawals;Prestataire"
"11 - Payments","Administration paiements","Statut: implemente.

Endpoints:
- GET /api/v1/admin/payments
- GET /api/v1/admin/payments/statistics
- GET /api/v1/admin/payments/:paymentId
- POST /api/v1/admin/payments/:paymentId/refund
- GET /api/v1/admin/payments/escrow/pending
- POST /api/v1/admin/payments/escrow/process-pending

Role:
- ADMIN uniquement

Fonctions:
- lister paiements
- statistiques paiement
- detail paiement
- remboursement
- consulter escrow pending
- traiter releases automatiques

Fichiers:
- backend/src/payments/presentation/controllers/admin-payments.controller.ts
- backend/src/payments/application/services/payment-query.service.ts
- backend/src/payments/application/services/escrow.service.ts

Tests:
- backend/test/payments.e2e-spec.ts
- backend/test/admin.e2e-spec.ts","Admin;Payments;Escrow"
"12 - Notifications","Notifications utilisateur in-app et device token","Statut: implemente.

Endpoints:
- GET /api/v1/notifications
- PATCH /api/v1/notifications/read-all
- PATCH /api/v1/notifications/:id/read
- POST /api/v1/notifications/device-token

Role:
- utilisateur authentifie

Fonctions:
- lister notifications utilisateur
- marquer une notification lue
- marquer toutes lues
- enregistrer token FCM
- pagination/filtres selon DTO

Fichiers:
- backend/src/notifications/notifications.module.ts
- backend/src/notifications/presentation/controllers/notifications.controller.ts
- backend/src/notifications/application/services/notifications.service.ts
- backend/src/notifications/infrastructure/repositories/notifications.repository.ts
- backend/src/notifications/infrastructure/repositories/notification-recipient.repository.ts

Tests:
- backend/test/notifications.e2e-spec.ts","Notifications;User;Mobile"
"12 - Notifications","Providers notification email, SMS, FCM et communications reservation","Statut: partiellement pret provider, implemente cote code.

Providers:
- Resend email
- Twilio SMS
- Firebase Cloud Messaging push

Fonctions:
- notification in-app
- livraison push si FCM configure
- livraison email si Resend configure
- livraison SMS si Twilio configure
- traces reservation_communications
- gestion provider non configure sans casser le flux

Fichiers:
- backend/src/notifications/application/services/notification-delivery.service.ts
- backend/src/notifications/application/services/reservation-client-notification.service.ts
- backend/src/notifications/application/services/payment-notification.service.ts
- backend/src/notifications/infrastructure/adapters/fcm-push-notification.adapter.ts
- backend/src/notifications/infrastructure/adapters/resend-email-notification.adapter.ts
- backend/src/notifications/infrastructure/adapters/twilio-sms-notification.adapter.ts
- backend/src/notifications/infrastructure/repositories/reservation-communications.repository.ts
- backend/src/core/messages/*notification*.messages.ts

Backlog:
- validation live Resend
- validation live Twilio
- validation live FCM
- monitoring delivery failure","Notifications;Providers;Integration"
"12 - Notifications","Administration notifications de masse","Statut: implemente.

Endpoint:
- POST /api/v1/admin/notifications/broadcast

Role:
- ADMIN uniquement

Fonctions:
- broadcast vers CLIENT
- broadcast vers PRESTATAIRE
- broadcast global
- notifications ciblees selon role

Fichiers:
- backend/src/notifications/presentation/controllers/admin-notifications.controller.ts
- backend/src/notifications/presentation/dto/broadcast-notification.dto.ts
- backend/src/notifications/application/services/notifications.service.ts

Tests:
- backend/test/admin.e2e-spec.ts","Admin;Notifications;Broadcast"
"13 - Disputes","Litiges admin reservation/paiement","Statut: implemente.

Endpoints admin:
- GET /api/v1/admin/disputes
- GET /api/v1/admin/disputes/:disputeId
- PATCH /api/v1/admin/disputes/:disputeId/in-review
- PATCH /api/v1/admin/disputes/:disputeId/resolve
- PATCH /api/v1/admin/disputes/:disputeId/reject

Endpoints metier lies:
- PATCH /api/v1/reservations/:reservationId/dispute
- PATCH /api/v1/payments/:paymentId/escrow/dispute

Roles:
- CLIENT/PRESTATAIRE selon litige ouvert
- ADMIN pour instruction/resolution

Fonctions:
- ouvrir litige reservation ou paiement
- lister litiges
- consulter detail
- passer en review
- resoudre avec refund/repartition
- rejeter et liberer selon regles
- notifications et outbox

Fichiers:
- backend/src/disputes/disputes.module.ts
- backend/src/disputes/presentation/controllers/admin-disputes.controller.ts
- backend/src/disputes/application/services
- backend/src/disputes/domain
- backend/src/disputes/infrastructure/repositories/disputes.repository.ts

Tests:
- backend/test/disputes.e2e-spec.ts","Disputes;Admin;Escrow"
"14 - Admin","Dashboard administrateur","Statut: implemente.

Endpoint:
- GET /api/v1/admin/dashboard

Role:
- ADMIN uniquement

Fonctions:
- analytics plateforme
- volumes utilisateurs
- reservations
- paiements/revenus
- litiges
- indicateurs gouvernance

Fichiers:
- backend/src/admin/admin.module.ts
- backend/src/admin/presentation/controllers/admin-dashboard.controller.ts
- backend/src/admin/application

Tests:
- backend/test/admin.e2e-spec.ts","Admin;Dashboard;Analytics"
"15 - Documentation et API","Swagger et exemples API","Statut: implemente.

URL:
- http://localhost:3000/api/docs

Fonctions:
- documentation interactive HTTP
- bearer JWT
- exemples enveloppe success/message/data/meta
- tags modules
- descriptions francaises centralisees

Fichiers:
- backend/src/main.ts
- backend/src/core/messages/api-docs.messages.ts
- backend/src/shared/swagger/swagger-response.examples.ts
- backend/src/shared/swagger/api-response-swagger.dto.ts
- controllers presentation/*

Backlog:
- maintenir Swagger a chaque ajout endpoint
- ajouter schemas detaillees pour nouveaux modules upload/documents/parrainage","Swagger;Docs;API"
"15 - Documentation et API","Collection Postman de test manuel","Statut: implemente.

Fichiers:
- backend/docs/collection_postman_test/jokko-api.postman_collection.json
- backend/docs/collection_postman_test/jokko-api.postman_environment.json
- backend/docs/POSTMAN_TESTS.md

Usage:
- tests manuels HTTP
- scenarios role CLIENT/PRESTATAIRE/ADMIN
- verification rapide Swagger/Postman

Limites:
- ne remplace pas les e2e Jest
- ne couvre pas parfaitement Socket.IO
- ne valide pas fournisseurs externes reels email/SMS/FCM/paiement

Variables Postman:
- baseUrl
- accessToken
- refreshToken
- userId
- professionalId
- categoryId
- serviceId
- negotiationId
- reservationId
- conversationId
- paymentId
- notificationId
- disputeId","Postman;Docs;QA"
"16 - Securite et Roles","Guards JWT et roles","Statut: implemente.

Guards:
- JwtAuthGuard
- RolesGuard

Decorators:
- CurrentUser
- Roles

Roles:
- CLIENT
- PRESTATAIRE
- ADMIN

Fonctions:
- verifier Bearer JWT
- injecter request.user
- proteger routes privees
- proteger routes admin
- verifier roles aussi dans les services metier critiques

Fichiers:
- backend/src/auth/security/jwt-auth.guard.ts
- backend/src/auth/security/current-user.decorator.ts
- backend/src/auth/security/auth-user.type.ts
- backend/src/shared/guards/roles.guard.ts
- controllers admin
- services application modules

Tests:
- backend/test/auth.e2e-spec.ts
- backend/test/categories.e2e-spec.ts
- backend/test/professionals.e2e-spec.ts
- backend/test/payments.e2e-spec.ts
- backend/test/admin.e2e-spec.ts","Security;Roles;Auth"
